PMT_ID,CircleNo,PositionNo,UpOrDown(0=Up 1=Down),PMTType,Channel(0-2),X,Y,Z,Theta,Phi,GCU,BECID,RMU_ID,RMU_2nd
123,57,20,0,2,2,3487.317,-402.594,19114.31,10.4068,-6.5854,6103,146.0,3,3.0-3.0
124,57,21,0,2,1,3507.903,134.4607,19114.31,10.4068,2.1951,6103,146.0,3,3.0-3.0
125,57,22,0,2,0,3446.267,668.3638,19114.31,10.4068,10.9756,6103,146.0,3,3.0-3.0
126,57,23,0,2,1,3303.853,1186.601,19114.31,10.4068,19.7561,6156,146.0,3,3.0-3.0
127,57,24,0,2,2,3083.999,1677.025,19114.31,10.4068,28.5366,6156,146.0,3,3.0-3.0
128,57,25,0,2,0,2791.859,2128.141,19114.31,10.4068,37.3171,6156,146.0,3,3.0-3.0
129,57,26,0,2,1,2434.28,2529.376,19114.31,10.4068,46.0976,3378,146.0,3,3.0-3.0
130,57,27,0,2,2,2019.644,2871.324,19114.31,10.4068,54.8781,3378,146.0,3,3.0-3.0
131,57,28,0,2,0,1557.669,3145.97,19114.31,10.4068,63.6585,3378,146.0,3,3.0-3.0
132,57,29,0,2,0,1059.184,3346.878,19114.31,10.4068,72.439,4300,146.0,3,3.0-3.0
133,57,30,0,2,1,535.8721,3469.338,19114.31,10.4068,81.2195,4300,146.0,3,3.0-3.0
134,57,31,0,2,2,0.0,3510.479,19114.31,10.4068,90.0,4300,146.0,3,3.0-3.0
135,57,32,0,2,2,-535.872,3469.338,19114.31,10.4068,98.7805,3229,146.0,3,3.0-3.0
136,57,33,0,2,0,-1059.18,3346.878,19114.31,10.4068,107.5609,3229,146.0,3,3.0-3.0
137,57,34,0,2,1,-1557.67,3145.971,19114.31,10.4068,116.3415,5591,146.0,3,3.0-3.0
138,57,35,0,2,2,-2019.64,2871.324,19114.31,10.4068,125.1219,5591,146.0,3,3.0-3.0
139,57,36,0,2,0,-2434.28,2529.376,19114.31,10.4068,133.9024,5591,146.0,3,3.0-3.0
140,57,37,0,2,0,-2791.86,2128.142,19114.31,10.4068,142.6829,5600,146.0,3,3.0-3.0
141,57,38,0,2,1,-3084.0,1677.025,19114.31,10.4068,151.4634,5600,146.0,3,3.0-3.0
